,site,lat,lon,elv,age,Tmin_pred,gdd_pred,alpha_pred,Tmax_pred,Tmin_sse,gdd_sse,alpha_sse,Tmax_sse
1,Adange core 1,43.31,41.33,1750,0,-5.174523164,2401.014223,1.007547028,14.39130369,0.977025428,125.1995708,0.021022672,0.371731536
2,Adange core 1,43.31,41.33,1750,19,-9.225548749,2025.208241,1.058228585,13.41319622,1.210507592,136.1126752,0.023640422,0.412008397
3,Adange core 1,43.31,41.33,1750,30,-6.043092946,2395.708221,1.01713736,13.30629796,1.159378956,157.1266538,0.027374563,0.437608912
4,Adange core 1,43.31,41.33,1750,62,-7.18556559,2503.31328,0.997691625,13.50157268,0.992571828,139.4294371,0.020927758,0.481933201
5,Adange core 1,43.31,41.33,1750,125,-9.762813035,2629.068689,0.956190177,14.87617001,1.324659648,159.127709,0.025605454,0.504840552
6,Adange core 1,43.31,41.33,1750,179,-4.955602805,2804.73232,0.970336392,14.7049006,1.102627958,172.439551,0.029424442,0.434430301
7,Adange core 1,43.31,41.33,1750,233,-6.271346582,2721.171949,0.961531437,15.09580839,1.176938072,153.8679572,0.025887575,0.427045466
8,Adange core 1,43.31,41.33,1750,329,-16.28615336,2795.079875,0.906663623,16.881692,1.850801395,175.2482301,0.022246908,0.723882885
9,Adange core 1,43.31,41.33,1750,372,-4.619098428,2724.032047,0.950057597,14.61733807,0.948490305,129.9365743,0.019663828,0.448472769
10,Adange core 1,43.31,41.33,1750,416,-6.077957878,2915.435256,0.910350556,16.37514593,0.95763225,127.904193,0.023185746,0.41690739
11,Adange core 1,43.31,41.33,1750,461,-4.00291831,2766.913892,0.968278061,15.11893003,1.011368029,147.6032528,0.02540625,0.410241767
12,Adange core 1,43.31,41.33,1750,505,-3.224412307,2954.273545,0.925335648,15.23014127,1.014890308,129.3737148,0.018025059,0.433059859
13,Adange core 1,43.31,41.33,1750,544,-6.592046964,2671.602432,0.996694214,14.35256066,1.304232728,190.979403,0.033343761,0.458201762
14,Adange core 1,43.31,41.33,1750,576,-5.71466863,3002.334688,0.909667341,15.82843944,1.043287778,142.7603808,0.023609342,0.409671678
15,Adange core 1,43.31,41.33,1750,598,-5.678641393,2949.732741,0.923909268,15.42772487,0.985498454,138.1526719,0.020468694,0.446553582
16,Adange core 1,43.31,41.33,1750,636,-6.278757806,2918.021821,0.920616024,15.95407338,1.044110325,126.0771983,0.018191341,0.409771187
17,Adange core 1,43.31,41.33,1750,685,-8.758698968,2916.091898,0.93103101,16.0365752,1.252707498,154.7756943,0.025276778,0.477410383
18,Adange core 1,43.31,41.33,1750,723,-1.788921869,3053.4213,0.912505262,15.38117437,0.905785022,127.1020463,0.018683791,0.439240199
19,Adange core 1,43.31,41.33,1750,755,-3.892694732,3072.130996,0.881055821,15.5775428,0.851798358,115.54681,0.018102981,0.393759168
20,Adange core 1,43.31,41.33,1750,787,-3.557822901,2956.79848,0.900482375,15.84506856,0.865251078,107.2059467,0.017547172,0.416781694
21,Adange core 1,43.31,41.33,1750,798,-3.21985959,2798.754211,0.96575189,13.60917741,1.077491606,157.975606,0.023424112,0.516232703
22,Adange core 1,43.31,41.33,1750,852,-2.980683339,3068.477999,0.898127877,15.50200919,0.894250094,130.1446635,0.01811514,0.461100331
23,Adange core 1,43.31,41.33,1750,984,-0.645736375,3006.273452,0.934242343,15.87605092,0.894033531,119.9297358,0.019323404,0.386083653
24,Adange core 1,43.31,41.33,1750,1178,-2.507338449,2899.515814,0.94663698,14.87331683,1.005546552,154.2160025,0.025725127,0.414673233
25,Adange core 1,43.31,41.33,1750,1374,-4.878230934,2612.642167,0.999220585,13.81586813,1.088728495,154.3172672,0.026676517,0.447771461
26,Adange core 1,43.31,41.33,1750,1574,-3.75694932,2801.160853,0.943903686,14.52668491,1.015898282,144.575594,0.022073741,0.527157033
27,Adange core 1,43.31,41.33,1750,1812,-2.920419652,3046.863425,0.940397537,15.70913868,1.059756512,157.9133132,0.028176361,0.409980565
28,Adange core 1,43.31,41.33,1750,1872,-3.379114682,2838.617321,0.982998468,15.05367506,1.165730868,175.3687954,0.031604442,0.445652781
29,Adange core 1,43.31,41.33,1750,2072,-5.308435827,2658.285529,0.967588404,15.57996703,0.939745244,112.5667716,0.020180912,0.464374225
30,Adange core 1,43.31,41.33,1750,2285,-3.752510441,2886.798076,0.961976466,14.94274058,1.092316878,165.0224434,0.02950163,0.424768764
31,Adange core 1,43.31,41.33,1750,2421,-6.854330112,2832.559774,0.953029729,15.6772054,1.092178861,149.6123758,0.025396294,0.42125033
32,Adange core 1,43.31,41.33,1750,2451,-3.64808681,2891.164264,0.967912858,15.97984816,1.049098607,149.5873928,0.028277429,0.401582484
33,Adange core 1,43.31,41.33,1750,2719,-1.295867094,3095.414351,0.904075799,15.31867145,0.980120355,132.78376,0.018584004,0.532452984
34,Adange core 1,43.31,41.33,1750,2863,-3.61009315,3208.344325,0.885014593,16.34544579,0.944649977,132.1232283,0.022013738,0.443022376
35,Adange core 1,43.31,41.33,1750,3251,-4.755236155,3298.033501,0.895372032,16.95532836,1.1417616,172.413224,0.030839556,0.465261299
36,Adange core 1,43.31,41.33,1750,3264,-1.504583548,3547.554405,0.859140308,19.13345011,1.052670842,120.3264727,0.021662215,0.394664948
37,Adange core 1,43.31,41.33,1750,4107,-4.0058308,2921.780263,0.979047167,16.36052474,1.165985069,164.5979048,0.0308799,0.431957036
38,Adange core 1,43.31,41.33,1750,4258,-12.46128338,3087.210199,0.889225121,17.64158829,1.622748123,172.2137191,0.02417532,0.678690989
39,Adange core 1,43.31,41.33,1750,4308,-6.401958315,3265.741308,0.873654658,18.04955254,1.027475526,134.9317321,0.02504762,0.395408194
40,Adange core 1,43.31,41.33,1750,4384,-8.744290699,3326.670409,0.831520981,18.19365672,1.185686745,142.0884123,0.0274579,0.408593698
41,Kumisi core 1,41.58,44.83,469,135,1.964162294,6584.652017,0.237247471,29.62310845,1.313480861,116.4383229,0.019275947,0.317586467
42,Kumisi core 1,41.58,44.83,469,560,2.394869739,6742.876426,0.216490399,30.22291558,1.643272802,125.1584042,0.021207933,0.334230999
43,Kumisi core 1,41.58,44.83,469,606,2.862527673,6708.919163,0.213099284,29.90979178,1.46662829,119.5404239,0.020180729,0.338495329
44,Kumisi core 1,41.58,44.83,469,654,2.003236582,6683.049672,0.219695632,30.04262106,1.460374528,119.3915618,0.019819874,0.32036237
45,Kumisi core 1,41.58,44.83,469,843,2.294313395,6602.542118,0.221198466,29.7757697,1.291688246,112.2555844,0.018633436,0.302364754
46,Kumisi core 1,41.58,44.83,469,1033,2.29854317,6731.342298,0.21711523,30.09741857,1.551927738,122.2906737,0.020382037,0.32822252
47,Amtkel core 1,43.27,41.31,1830,176,-6.422184268,3058.526946,0.899758577,16.90687241,1.140535189,158.9990363,0.028678294,0.435576985
48,Amtkel core 1,43.27,41.31,1830,352,-7.740043773,3115.945834,0.907646013,17.43552817,1.278833539,168.7956148,0.031595973,0.482568404
49,Amtkel core 1,43.27,41.31,1830,526,-4.560490946,3164.224154,0.927402264,16.80205542,1.095215583,165.0351964,0.030195336,0.447686499
50,Amtkel core 1,43.27,41.31,1830,654,-2.364043046,2796.516851,0.952070132,14.33367104,0.957055403,123.0963753,0.013540096,0.47063819
51,Amtkel core 1,43.27,41.31,1830,760,-3.125860957,2843.02034,0.96009914,15.5405619,0.874374425,117.2202989,0.018865227,0.379324423
52,Amtkel core 1,43.27,41.31,1830,884,-3.106399743,3289.75924,0.891286896,17.51378788,1.020710746,144.7681547,0.0279667,0.380871618
53,Amtkel core 1,43.27,41.31,1830,980,-4.134036605,3136.67461,0.930065377,16.32624518,1.150237863,167.2698533,0.030809088,0.440924143
54,Amtkel core 1,43.27,41.31,1830,1113,-0.423256013,3070.520859,0.947892179,17.45930942,0.921981831,114.0145863,0.019153584,0.358286823
55,Amtkel core 1,43.27,41.31,1830,1275,-0.135170631,3424.01839,0.874146073,17.80866294,1.014106975,131.7733859,0.025237393,0.370039593
56,Amtkel core 1,43.27,41.31,1830,1482,-2.21545675,3386.241958,0.89999669,17.81650608,1.204212874,181.3358454,0.03440304,0.478246757
57,Amtkel core 1,43.27,41.31,1830,1528,-2.161568092,3381.770285,0.875890705,18.06216647,1.644929032,236.851278,0.047767189,0.936846078
58,Amtkel core 1,43.27,41.31,1830,1767,-5.198024854,3051.952616,0.957952014,16.44374068,1.533854372,221.3184453,0.041916081,0.724257114
59,Gagra #471,43.28,40.27,0,749,0.347284347,3566.595498,0.800212532,18.77876778,1.015049885,110.7665259,0.020151033,0.461510786
60,Gagra #471,43.28,40.27,0,968,-0.162142332,3467.111627,0.830646657,18.79009714,0.943678259,108.8286892,0.022068512,0.410956773
61,Gagra #471,43.28,40.27,0,2150,-0.912160114,3118.484905,0.885986621,14.66406332,1.125330268,160.7560756,0.019380645,0.673136356
62,Gagra #471,43.28,40.27,0,2544,1.463615041,3348.016855,0.841301541,16.18410525,0.986101339,123.7053734,0.018242292,0.553134221
63,Gagra #471,43.28,40.27,0,3902,0.728002342,3415.185417,0.838227658,17.13912884,0.904742973,109.2808808,0.017623829,0.479375185
64,Gagra #471,43.28,40.27,0,4306,2.851789952,3319.192322,0.887725665,16.22764925,0.979316241,158.3189783,0.029199009,0.410055822
65,Gagra #471,43.28,40.27,0,4481,2.436209107,3615.238476,0.800338872,17.52680238,1.065749408,122.9350553,0.020282866,0.561389871
66,Gagra #471,43.28,40.27,0,4636,-0.391886375,3351.741554,0.903780088,17.20834127,1.061557284,175.6007954,0.032594148,0.457643555
67,Gagra #471,43.28,40.27,0,4694,4.792458676,3708.759087,0.781925512,18.64003941,0.833322313,93.76957155,0.017842312,0.331085333
68,Gagra #471,43.28,40.27,0,4850,-0.788645618,3296.68273,0.902276513,16.56048767,1.087605035,181.9368435,0.032783305,0.442544253
69,Gagra #471,43.28,40.27,0,5025,0.563061304,3152.910783,0.913122107,15.38630287,1.101189236,187.562025,0.033372612,0.42977602
70,Gagra #471,43.28,40.27,0,5277,1.826285258,3361.964673,0.881447115,16.83196928,0.964821211,163.5795922,0.029904502,0.41382002
71,Gagra #471,43.28,40.27,0,5413,-0.418960107,3213.778973,0.943438005,15.9684902,1.309332241,229.8410141,0.040818791,0.553772096
72,Gagra #471,43.28,40.27,0,5472,1.012420273,3319.356216,0.901386363,16.15094938,1.099791452,194.4202227,0.033677178,0.469847745
73,Gagra #471,43.28,40.27,0,5627,0.600976186,3384.517071,0.905512525,17.41558054,1.052705321,174.5536345,0.031515238,0.472920524
74,Gagra #471,43.28,40.27,0,5860,0.421636407,3357.274243,0.900556787,16.58300281,1.153569117,206.2586072,0.035955121,0.524586873
75,Gagra #471,43.28,40.27,0,6016,-0.64448886,3223.699734,0.948977946,16.02789479,1.294110585,229.0401101,0.041254389,0.552783336
76,Gagra #471,43.28,40.27,0,6148,1.34670615,3402.008301,0.885619621,17.24361682,0.934663819,154.1902137,0.028169908,0.391584738
77,Gagra #471,43.28,40.27,0,6269,5.778992871,3459.691724,0.819319447,15.34781283,0.769397202,130.3658384,0.023661338,0.430968485
78,Gagra #471,43.28,40.27,0,6368,3.764819191,3806.642224,0.783449574,19.75553008,0.914509217,105.3423028,0.020562704,0.366605132
79,Gagra #471,43.28,40.27,0,6488,0.493124463,3394.424942,0.892691017,17.73051104,1.047207347,153.2133162,0.029854954,0.427280932
80,Gagra #471,43.28,40.27,0,6565,6.050431782,3774.969485,0.799243459,18.80274756,0.786274676,173.6651006,0.021726712,1.457398313
81,Gagra #471,43.28,40.27,0,6620,4.578013623,3724.573091,0.80680272,17.78303347,0.765931042,123.8863431,0.024319675,0.345318112
82,Gagra #471,43.28,40.27,0,6707,2.266200896,3787.244989,0.809393746,19.37353013,0.788213507,110.4045047,0.019850358,0.334762196
83,Gagra #471,43.28,40.27,0,6927,3.384883611,3663.080122,0.851924488,17.91290579,0.910272545,129.3087308,0.023797603,0.374283473
84,Gagra #471,43.28,40.27,0,7025,4.27430504,3785.467907,0.774152672,18.9358792,0.653736974,82.81071364,0.016734929,0.288521402
85,Gagra #471,43.28,40.27,0,7058,3.514174092,3582.392148,0.845790411,17.17391045,0.820048445,129.8121406,0.024560125,0.365274429
86,Gagra #471,43.28,40.27,0,7288,1.891263956,3593.16863,0.918574297,18.75468798,1.367448846,297.182752,0.036597621,1.692831793
87,Gagra #471,43.28,40.27,0,7617,5.701128358,4158.159995,0.741962243,22.47840662,0.846861746,121.8720388,0.017339121,0.729154398
88,Gagra #471,43.28,40.27,0,7798,4.977252115,4124.708751,0.726390005,22.0777941,0.737041554,90.2457193,0.016110641,0.396338579
89,Gagra #471,43.28,40.27,0,7995,6.451457738,4094.18204,0.751967617,21.42072269,0.818580491,150.7639718,0.019118883,1.048769536
90,Gagra #471,43.28,40.27,0,8274,5.466369467,3797.387399,0.770923291,19.94631714,1.048174982,103.5441474,0.020615157,0.421278704
91,Gagra #471,43.28,40.27,0,8455,3.856992321,3753.02714,0.805654259,19.23348919,0.770808568,90.91995511,0.016708745,0.311836822
92,Gagra #471,43.28,40.27,0,8586,6.012298717,3823.721242,0.756421049,19.66878752,0.960092978,100.3708829,0.020494354,0.40560375
93,Gagra #471,43.28,40.27,0,8603,5.120401919,3792.095707,0.754956376,20.16580437,1.172240215,114.1583831,0.023314014,0.478736891
